NR2B1_NR2B1 
NR2B3_NR2B1 
PPARG_NR2B1 
NR1H2_RXRG 
CLU_EL52 
ITGA4_EL52 
EL52_EL52 
CALU_EL52 
CRTAP_EL52 
PNP_EL52 
EGFR_EL52 
ALB_EL52 
TFRC_EL52 
ALDOA_EL52 
ANXA1_EL52 
KRT1_EL52 
ITGB1_EL52 
ITGB1_EL52 
ANXA2_EL52 
C3_ITGB5 
EGFR_CACNA1A 
ITGB1_CACNA1A 
CCL3L1_ACKR2 
ITGB1_PLXNB2 
ITGB3_PLXNB2 
ITGAV_PLXNB2 
TFRC_PLXNB2 
FN1_PLXNB2 
EGFR_PLXNB2 
PLXNB2_PLXNB2 
C3_PLXNB2 
EL52_PLXNB2 
EL52_EPHB6 
EGFR_EPHB6 
ITGB1_EPHB6 
ITGB1_LAMA5 
ITGAV_LAMA5 
ITGB2_LAMA5 
ITGB1_LAMA5 
KRT1_LAMA5 
TFRC_LAMA5 
ALB_LAMA5 
ANXA1_LAMA5 
EGFR_LAMA5 
LAMA5_LAMA5 
C3_LAMA5 
A2M_LAMA5 
EL52_LAMA5 
ITGB5_LAMA5 
LAMC1_LAMA5 
FBN1_LAMA5 
NR4A1_PPARG 
HMGB2_PPARG 
EBAG9_PPARG 
CALU_PPARG 
EGFR_PLXNB1 
ITGB1_PLXNB1 
NR3C1_TGFB1I1
ESR1_CALU 
APOC3_CALU 
VTN_CALU 
HEL111_CALU 
EGFR_CALU 
CRTAP_CALU 
CALU_CALU 
A2M_CALU 
C3_CALU 
ITGB1_CALU 
KRT1_CALU 
ITGAV_CALU 
P4HB_CALU 
ANXA1_CALU 
ALB_CALU 
TFRC_CALU 
TF_CALU 
FN1_CALU 
FGA_CALU 
APOA1_CALU 
CALR_CALU 
HSP90B1_CALU 
ANXA2_CALU 
APOA1_GPC4 
ANXA1_GPC4 
ITGAV_GPC4 
ITGB1_GPC4 
VTN_GPC4 
EL52_CRTAP 
C3_CRTAP 
A2M_CRTAP 
EGFR_CRTAP 
ITGB1_CRTAP 
ANXA2_CRTAP 
ANXA1_CRTAP 
TFRC_CRTAP 
APOA1_CRTAP 
APOA1_EGFR 
ALB_EGFR 
ANXA1_EGFR 
ITGB1_EGFR 
KRT1_EGFR 
APOC1_EGFR 
A2M_CFD 
ITGB1_CFD 
ALB_CFD 
ITGB1_PLAT 
PLAU_PLAT 
EL52_PLAT 
EL52_CFB 
C3_CFB 
EGFR_CFB 
ITGB1_CFB 
FN1_CFB 
APOA1_A2M 
TFRC_A2M 
ANXA1_A2M 
ALDOA_A2M 
KRT1_A2M 
ERBB2_A2M 
ITGB1_A2M 
ITGB1_A2M 
ANXA2_A2M 
ITGAV_A2M 
EGFR_A2M 
C3_A2M 
EL52_A2M 
C3_C3 
EL52_C5 
EL52_PIGR 
ITGB5_PIGR 
HEL111_PIGR 
C3_PIGR 
EGFR_PIGR 
ITGAV_PIGR 
ITGB1_PIGR 
ALDOA_PIGR 
ANXA1_PIGR 
TFRC_PIGR 
ALB_PIGR 
APOA1_PIGR 
APOE_PIGR 
FN1_PIGR 
ANXA2_PIGR 
ITGA5_PIGR 
ITGA4_PIGR 
ITGB1_COL1A1 
ITGB3_COL1A1 
SERPINE2_COL4A1 
MMP9_COL4A1 
DCN_COL4A1 
ITGA5_APOA1 
ANXA5_APOA1 
LGALS1_APOA1 
HSP90B1_APOA1 
PKM_APOA1 
CALR_APOA1 
M6PR_APOA1 
CD44_APOA1 
ITGA4_APOA1 
IGF2R_APOA1 
LAMC1_APOA1 
CLU_APOA1 
P4HB_APOA1 
ANXA2_APOA1 
CTSD_APOA1 
ITGAV_APOA1 
GSN_APOA1 
ITGB1_APOA1 
ITGB1_APOA1 
S100A8_APOA1 
SERPIND1_APOA1 
APP_APOA1 
ERBB2_APOA1 
ITGB3_APOA1 
KRT1_APOA1 
FN1_APOA1 
AHSG_APOA1 
APOA2_APOA1 
APOA1_APOA1 
ALB_APOA1 
PPBP_APOA1 
TFRC_APOA1 
TF_APOA1 
ANXA1_APOA1 
ALDOA_APOA1 
LTF_APOA1 
CRTAP_APOA1 
EGFR_APOA1 
CALU_APOA1 
GPC4_APOA1 
PLXNB2_APOA1 
A2M_APOA1 
VTN_APOA1 
HLA-A_APOA1 
CD36_APOA1 
TOR1A_APOA1 
EL52_APOA1 
ESR1_APOA1 
NR3C1_APOA1 
EL52_APOE 
VTN_APOE 
C3_APOE 
GPC4_APOE 
CALU_APOE 
TF_APOE 
ALDOA_APOE 
ANXA1_APOE 
TFRC_APOE 
ALB_APOE 
APOE_APOE 
KRT1_APOE 
ITGB1_APOE 
ANXA2_APOE 
CTSL_APOA2 
KRT1_APOA2 
ITGB1_APOA2 
ANXA2_APOA2 
APOA2_APOA2 
FN1_APOA2 
ALB_APOA2 
TFRC_APOA2 
EGFR_APOA2 
A2M_APOA2 
EL52_APOA2 
EL52_FGA 
VTN_FGA 
CD36_FGA 
A2M_FGA 
C3_FGA 
CNMD_FGA 
EGFR_FGA 
CRTAP_FGA 
GPC4_FGA 
CALU_FGA 
TFRC_FGA 
TF_FGA 
ALB_FGA 
ANXA1_FGA 
ALDOA_FGA 
FN1_FGA 
FGA_FGA 
ANXA2_FGA 
ITGAV_FGA 
ITGB1_FGA 
ITGB1_FGA 
KRT1_FGA 
ERBB2_FGA 
ITGA5_FGA 
CLU_FGA 
LAMC1_FGA 
ANXA2_FGB 
FN1_FGB 
VTN_FGB 
HEL111_FGB 
EL52_C1QA 
A2M_C1QA 
FN1_C1QA 
TFRC_C1QA 
KRT1_C1QA 
ITGB1_C1QA 
ITGB1_C1QC 
ALB_C1QC 
FN1_C1QC 
A2M_C1QC 
EGFR_C1QC 
EL52_C1QC 
EL52_FN1 
SERPINA1_FN1 
VTN_FN1 
CD36_FN1 
LOX_FN1 
CRTAP_FN1 
CALU_FN1 
PLXNB2_FN1 
NRP1_FN1 
A2M_FN1 
FN1_FN1 
COL1A1_FN1 
COL2A1_FN1 
PIGR_FN1 
AHSG_FN1 
ALB_FN1 
TFRC_FN1 
ALDOA_FN1 
ANXA1_FN1 
ITGB1_FN1 
ITGB1_FN1 
CTSD_FN1 
ITGAV_FN1 
GSN_FN1 
S100A8_FN1 
ITGB3_FN1 
KRT1_FN1 
APOB_FN1 
ERBB2_FN1 
LAMC1_FN1 
CLU_FN1 
PTPRF_FN1 
ITGA4_FN1 
CD44_FN1 
COL5A1_FN1 
PKM_FN1 
ITGA5_FN1 
CFH_FN1 
MET_FN1 
LGALS1_FN1 
LAMB1_FN1 
CTSL_FN1 
COL4A4_FN1 
ANXA2_AHSG 
ITGA5_AHSG 
ITGB1_AHSG 
ITGAV_AHSG 
ITGB1_AHSG 
ANXA1_AHSG 
ALB_AHSG 
C3_AHSG 
A2M_AHSG 
EGFR_AHSG 
SERPINA1_AHSG 
VTN_ALB 
HLA-A_ALB 
CD36_ALB 
TOR1A_ALB 
ESR1_ALB 
MIF_ALB 
NR3C1_ALB 
CRTAP_ALB 
EGFR_ALB 
NRP1_ALB 
CASK_ALB 
PLXNB2_ALB 
LAMA5_ALB 
LDLR_ALB 
C3_ALB 
A2M_ALB 
ALB_ALB 
PPBP_ALB 
TF_ALB 
TFRC_ALB 
ANXA1_ALB 
ALDOA_ALB 
HPX_ALB 
TNF_ALB 
ITGB1_ALB 
GSN_ALB 
ITGAV_ALB 
CTSD_ALB 
ANXA2_ALB 
P4HB_ALB 
ITGB1_ALB 
ITGB3_ALB 
ITGB2_ALB 
S100A8_ALB 
ERBB2_ALB 
APOB_ALB 
KRT1_ALB 
LGALS1_ALB 
RPSA_ALB 
ITGA5_ALB 
F7_ALB 
ANXA5_ALB 
PSAP_ALB 
THBS1_ALB 
CTSL_ALB 
HSP90AA1_ALB 
ELANE_ALB 
PKM_ALB 
HSP90B1_ALB 
CD44_ALB 
CALR_ALB 
ITGA4_ALB 
IGF2R_ALB 
CLU_ALB 
LAMC1_ALB 
BSG_ALB 
KRT1_PPBP 
TFRC_PPBP 
A2M_PPBP 
NR3C1_PPBP 
EL52_PPBP 
VTN_PPBP 
ITGB5_TFRC 
HEL111_TFRC 
GPC4_TFRC 
TFRC_TFRC 
ALDOA_TFRC 
ANXA1_TFRC 
APOA1_TFRC 
KRT1_TFRC 
ERBB2_TFRC 
ITGB2_TFRC 
ITGAV_TFRC 
CTSD_TFRC 
ITGB1_TFRC 
ITGB1_TFRC 
LAMC1_TFRC 
CLU_TFRC 
ITGA4_TFRC 
ANXA2_TFRC 
ANXA2_TF 
CTSL_TF 
LAMC1_TF 
CLU_TF 
ITGB1_TF 
ITGB1_TF 
GSN_TF 
APOE_TF 
APOA2_TF 
ANXA1_TF 
ALDOA_TF 
TFRC_TF 
