IL6R _CALR 
IL6R _IL6ST
IL6R _C1QBP 
IL6R _TRAF2 
IL6R _ERBIN 
IL6R _OR8D2 
IL6R _SDF2L1 
IL6R _HYOU1 
CD80 _ANXA2 
CD80 _CALR 
CD80 _BSG 
CD80 _IL6ST
CD80 _IFNAR2 
CD80 _PPT1 
CD80 _ATP1B3 
CD80 _TGFB2 
CD80 _DCD 
CD80 _PLAUR
CD80 _C1QBP 
CD80 _TRAF2 
CD80 _SDF2 
CD80 _ACVR1C
CD80 _SCARB1 
CD80 _OR8D2 
CD80 _SDF2L1 
CD80 _HYOU1 
CCR7 _CCL3 
CCR7 _CCL5 
CCR7 _CXCL8 
CCR7 _CCL2 
CCR7 _CXCL2 
CCR7 _FCER1G 
CCR7 _AGTR1 
CCR7 _CXCL5 
CCR7 _XCL1 
CCR7 _CXCL12
CCR7 _CCL11 
CCR7 _CCR5 
CCR7 _CCL18 
CCR7 _SST 
CCR7 _CCL20 
CCR7 _CCL8 
CCR7 _CCL7 
CCR7 _CXCL6 
CCR7 _DEFB103A 
CCR7 _DCD 
CCR7 _CXCL9 
CCR7 _SLC1A5
CCR7 _CCL14 
CCR7 _CCL14
CCR7 _OR2T6 
CCR7 _CCL13 
CCR7 _OR8D2 
CCR7 _XCL2 
CCR7 _APLN 
CCR7 _CCL26 
CCR4 _CCL21 
CCR4 _CCL22 
CCR4 _CXCL8 
CCR4 _CCL2 
CCR4 _FCER1G 
CCR4 _AGTR1 
CCR4 _ADRA1A
CCR4 _CXCL5 
CCR4 _CXCL12
CCR4 _CCL11 
CCR4 _CCR5 
CCR4 _CCL18 
CCR4 _SST 
CCR4 _CCL20 
CCR4 _CCL8 
CCR4 _CCL7 
CCR4 _CXCL6 
CCR4 _DEFB103A 
CCR4 _DCD 
CCR4 _CXCL9 
CCR4 _SLC1A5
CCR4 _CCL14 
CCR4 _CCL14
CCR4 _CCL19 
CCR4 _OR2T6 
CCR4 _CCL13 
CCR4 _OR8D2 
CCR4 _SDF2L1 
CCR4 _XCL2 
CCR4 _WNT16 
CCR4 _CCL26 
CCL28 _DPP4 
CCL28 _CCR1 
CCL28 _ADRA1B 
CCL28 _CCR2
CCL28 _OR3A2 
CCL28 _CXCR3 
CCL28 _CCR3 
CCL28 _CCR5 
CCL28 _CCR8 
CCL28 _SLC1A5
CCL28 _IGFBP7 
CCL28 _OR5H6 
CCL28 _OR2T6 
CCL28 _OR8D2 
CCL3 _CXCR2 
CCL3 _DPP4 
CCL3 _CCR1 
CCL3 _CCR2 
CCL3 _CCR2
CCL3 _OR3A2 
CCL3 _CXCR3 
CCL3 _CCR3 
CCL3 _CCR5 
CCL3 _CCR8 
CCL3 _SLC1A5
CCL3 _IGFBP7 
CCL3 _OR5H6 
CCL3 _OR2T6 
CCL3 _OR8D2 
CCL3 _IL20RA 
BLR1 _CCL3 
BLR1 _CCL21 
BLR1 _CCL22 
BLR1 _CXCL8 
BLR1 _CCL2 
BLR1 _FCER1G 
BLR1 _AGTR1 
BLR1 _ADRA1A
BLR1 _CXCL5 
BLR1 _CXCL12
BLR1 _CCL11 
BLR1 _CCR5 
BLR1 _CCL18 
BLR1 _SST 
BLR1 _CCL20 
BLR1 _CCL8 
BLR1 _CCL7 
BLR1 _CXCL6 
BLR1 _DEFB103A 
BLR1 _DCD 
BLR1 _CXCL9 
BLR1 _SLC1A5
BLR1 _CCL14 
BLR1 _CCL14
BLR1 _CCL19 
BLR1 _OR2T6 
BLR1 _CCL13 
BLR1 _OR8D2 
BLR1 _WNT16 
BLR1 _CCL26 
NPFFR2 _CCR5 
NPFFR2 _OR8D2 
ATP1B1 _RXRG 
ATP1B1 _APOA1 
ATP1B1 _FGA 
ATP1B1 _FN1 
ATP1B1 _ANXA1 
ATP1B1 _KRT1 
ATP1B1 _S100A8 
ATP1B1 _ITGB1 
ATP1B1 _GSN 
ATP1B1 _ITGAV 
ATP1B1 _KLK3 
ATP1B1 _CTSD 
ATP1B1 _ANXA2 
ATP1B1 _PSAP 
ATP1B1 _CTSL 
ATP1B1 _CTSB 
ATP1B1 _THBS1 
ATP1B1 _GUSB 
ATP1B1 _PTPRC 
ATP1B1 _CFH 
ATP1B1 _ITGA5 
ATP1B1 _F7 
ATP1B1 _ANXA5 
ATP1B1 _HMGB1 
ATP1B1 _C4A 
ATP1B1 _CLU 
ATP1B1 _LAMC1 
ATP1B1 _FGFR1 
ATP1B1 _IGF2R 
ATP1B1 _CDH1 
ATP1B1 _VCAN 
ATP1B1 _ITGA4 
ATP1B1 _NID1 
ATP1B1 _PKM 
ATP1B1 _HSP90B1 
ATP1B1 _FOLR1 
ATP1B1 _CD44 
ATP1B1 _ITGB4 
ATP1B1 _ITGA2 
ATP1B1 _VCAM1 
ATP1B1 _VCAM1
ATP1B1 _ITIH1 
ATP1B1 _ANXA7 
ATP1B1 _COL5A1 
ATP1B1 _FGFR2
ATP1B1 _ERBB3 
ATP1B1 _PRTN3 
ATP1B1 _LAMA1 
ATP1B1 _ITGA3 
ATP1B1 _HMGB2 
ATP1B1 _CALR 
ATP1B1 _RXRB 
ATP1B1 _S100A7 
ATP1B1 _IL2RG 
ATP1B1 _L1CAM 
ATP1B1 _CSF2RB 
ATP1B1 _PRSS3 
ATP1B1 _FBN1 
ATP1B1 _BSG 
ATP1B1 _KDR 
ATP1B1 _IL6ST
ATP1B1 _LIFR 
ATP1B1 _BTD 
ATP1B1 _OR3A2 
ATP1B1 _IFNAR2 
ATP1B1 _HSPA13 
ATP1B1 _TGM4 
ATP1B1 _MMP14 
ATP1B1 _PPT1 
ATP1B1 _ATP1B3 
ATP1B1 _EPHA4 
ATP1B1 _ITGA1 
ATP1B1 _B2M 
ATP1B1 _DCD 
ATP1B1 _HSPG2 
