SEMA3F_ADRA2A
SEMA3F_GRM7
SEMA3F_EGFR
SEMA3F_MET
SEMA3F_ERBB4
SEMA3F_SORT1
SEMA3F_ITGAL
SEMA3F_ITGB2
SEMA3F_ITGAD
SEMA3F_FGFR2
SEMA3F_FGFR4
SEMA3F_FGFR1
SEMA3F_FGFR3
SEMA3F_DCC
SEMA3F_NEO1
SEMA3F_ADRB2
SEMA3F_TSHR
SEMA3F_ERBB2
SEMA3F_EPHB2
SEMA3F_EPHA6
SEMA3F_NOTCH1
SEMA3F_NOTCH2
SEMA3F_NOTCH3
SEMA3F_PLXNB2
SEMA3F_ITGB5
SEMA3F_ALK
SEMA3F_EPHA1
SEMA3F_ITGA4
SEMA3F_CD44
SEMA3F_ITGB7
SEMA3F_LRP2
SEMA3F_ITGB1
SEMA3F_IGF2R
SEMA3F_LRP1
SEMA3F_SDC2
SEMA3F_ITGAM
SEMA3F_LRP6
SEMA3F_LRP5
SEMA3F_ACVR1
SEMA3F_ITGB3
SEMA3F_ITGB6
SEMA3F_ITGAV
SEMA3F_CAV1
SEMA3F_SDC1
SEMA3F_ST14
SEMA3F_ITGA7
SEMA3F_ITGA6
SEMA3F_ITGA1
SEMA3F_ITGA2
SEMA3F_ROR2
SEMA3F_ITGA5
SEMA3F_FLT4
SEMA3F_ITGA8
SEMA3F_KDR
SEMA3F_ITGA2B
SEMA3F_LDLR
SEMA3F_TLR2
SEMA3F_SDC4
SEMA3F_ERBB3
SEMA3F_VLDLR
SEMA3F_TLR4
SEMA3F_ABCA1
SEMA3F_ACVR2B
SEMA3F_BMPR2
SEMA3F_BMPR1A
SEMA3F_BMPR1B
SEMA3F_RET
SEMA3F_CR1
SEMA3F_SORL1
SEMA3F_LRP4
SEMA3F_PLXNA4
SEMA3F_PLXNA2
SEMA3F_IGF1R
SEMA3F_PLXND1
SEMA3F_CDON
SEMA3F_INSR
SEMA3F_NRXN1
SEMA3F_FLT1
SEMA3F_TIE1
SEMA3F_NRXN3
SEMA3F_PTPRS
SEMA3F_PLXNB3
SEMA3F_ITGA3
SEMA3F_ITGB4
SEMA3F_ACVR2A
SEMA3F_PLXNC1
SEMA3F_GPC1
SEMA3F_ITGA9
SEMA3F_NRXN2
SEMA3F_PLXNB1
CX3CL1_NRP1
CX3CL1_ADRA2A
CX3CL1_MTNR1A
CX3CL1_GRM7
CX3CL1_EGFR
CX3CL1_ERBB4
CX3CL1_ITGAL
CX3CL1_ITGB2
CX3CL1_FGFR2
CX3CL1_FGFR4
CX3CL1_FGFR1
CX3CL1_ADRB2
CX3CL1_TSHR
