A2M_ACVR1B
A2M_ANXA6
A2M_CFTR
A2M_CRLF1
A2M_IL6ST
A2M_KDR
A2M_LDLR
A2M_LPAR2
A2M_LRP1
A2M_MET
A2M_PTPRA
A2M_RPSA
A2M_SCARB2
A2M_TNFRSF14
A2M_TSHR
A2M_TYRO3
AANAT_MTNR1A
AANAT_MTNR1B
ADAM12_ITGA3
ADAM12_ITGA5
ADAM12_ITGA7
ADAM12_ITGA9
ADAM12_ITGB1
ADAM12_MC1R
ADAM12_SDC4
ADAM12_TGFBR2
ADAM15_CDH1
ADAM15_GABRA6
ADAM15_ITGA2B
ADAM15_ITGA5
ADAM15_ITGA9
ADAM15_ITGAV
ADAM15_ITGB1
ADAM15_ITGB3
ADAM17_ADIPOR1
ADAM17_AXL
ADAM17_CALM1
ADAM17_CD163
ADAM17_CD4
ADAM17_CD40
ADAM17_CD47
ADAM17_CDH1
ADAM17_CYSLTR2
ADAM17_EGFR
ADAM17_EPHB2
ADAM17_ERBB2
ADAM17_ERBB3
ADAM17_ERBB4
ADAM17_FAS
ADAM17_GHR
ADAM17_GP1BA
ADAM17_ICAM1
ADAM17_IGSF1
ADAM17_IL1R2
ADAM17_IL6R
ADAM17_ITGA2B
ADAM17_ITGA5
ADAM17_ITGB1
ADAM17_MADCAM1
ADAM17_MC3R
ADAM17_MERTK
ADAM17_MRGPRX1
ADAM17_NGFR
ADAM17_NOTCH1
ADAM17_NOTCH2
ADAM17_NOTCH3
ADAM17_NOTCH4
ADAM17_NRP1
ADAM17_NTRK1
ADAM17_PROCR
ADAM17_PTCH1
ADAM17_PTGER1
ADAM17_PTPRF
ADAM17_SDK2
ADAM17_SELL
ADAM17_SLC40A1
ADAM17_SORT1
ADAM17_TLR4
ADAM17_TLR9
ADAM17_TNFRSF10A
ADAM17_TNFRSF10B
ADAM17_TNFRSF11B
ADAM17_TNFRSF1A
ADAM17_TNFRSF1B
ADAM17_TNFRSF8
ADAM17_TRAF2
ADAM17_VCAM1
ADAM17_VDR
ADAM2_CD151
ADAM2_CDH1
ADAM2_ITGA4
ADAM2_ITGA6
ADAM2_ITGA9
ADAM2_ITGB1
ADAM2_ZP2
ADAM23_DLG4
ADAM23_ITGA5
ADAM23_ITGAV
ADAM23_ITGB3
ADAM23_RYR1
ADAM9_CDH1
ADAM9_CYSLTR2
ADAM9_ITGA3
ADAM9_ITGA6
ADAM9_ITGA9
ADAM9_ITGAV
ADAM9_ITGB1
ADAM9_ITGB5
ADAM9_PTPRK
ADCYAP1_ADCYAP1R1
ADCYAP1_ADORA2A
ADCYAP1_ADORA2B
ADCYAP1_ADRB1
ADCYAP1_ADRB2
ADCYAP1_ADRB3
ADCYAP1_ALOX5
ADCYAP1_AR
ADCYAP1_BDKRB2
ADCYAP1_CALCR
ADCYAP1_CALCRL
ADCYAP1_CALM1
ADCYAP1_CASR
ADCYAP1_CHRM1
ADCYAP1_CHRM3
ADCYAP1_CRHR1
ADCYAP1_CRHR2
ADCYAP1_CXCR2
ADCYAP1_CXCR3
ADCYAP1_DRD1
ADCYAP1_DRD5
ADCYAP1_EPHB2
ADCYAP1_ESR1
ADCYAP1_ESR2
ADCYAP1_F2RL1
ADCYAP1_F2RL3
ADCYAP1_FSHR
ADCYAP1_GABBR1
ADCYAP1_GABBR2
ADCYAP1_GCGR
ADCYAP1_GHRHR
ADCYAP1_GIPR
ADCYAP1_GLP2R
ADCYAP1_GPBAR1
ADCYAP1_GPR15
ADCYAP1_GPR150
ADCYAP1_GPR151
ADCYAP1_GPR176
ADCYAP1_GPR20
ADCYAP1_GPR27
ADCYAP1_GPR45
ADCYAP1_GPR83
ADCYAP1_GPR84
ADCYAP1_GRIA2
ADCYAP1_GRIN2B
ADCYAP1_HRH1
ADCYAP1_HRH2
ADCYAP1_HRH3
ADCYAP1_HRH4
ADCYAP1_HTR4
ADCYAP1_HTR6
ADCYAP1_HTR7
ADCYAP1_ITGA2
ADCYAP1_LHCGR
ADCYAP1_MARCO
ADCYAP1_MC1R
ADCYAP1_MC2R
ADCYAP1_MC3R
ADCYAP1_MC5R
ADCYAP1_MTNR1B
ADCYAP1_MYLK
ADCYAP1_NPSR1
ADCYAP1_NRXN1
ADCYAP1_NTRK1
ADCYAP1_NTRK2
ADCYAP1_OCLN
ADCYAP1_OPRM1
ADCYAP1_OXTR
ADCYAP1_P2RY1
ADCYAP1_P2RY2
ADCYAP1_PGR
ADCYAP1_PKD2
ADCYAP1_PRLR
ADCYAP1_PTGDR
ADCYAP1_PTGER2
ADCYAP1_PTGER4
ADCYAP1_PTGIR
ADCYAP1_PTH1R
ADCYAP1_PTH2R
ADCYAP1_RAMP1
ADCYAP1_RAMP2
ADCYAP1_RAMP3
ADCYAP1_RXFP1
ADCYAP1_RXFP2
ADCYAP1_RYR1
ADCYAP1_RYR2
ADCYAP1_SCTR
ADCYAP1_TAAR1
ADCYAP1_TRPV1
ADCYAP1_TRPV4
ADCYAP1_TSHR
ADCYAP1_VIPR1
ADCYAP1_VIPR2
ADIPOQ_ADIPOR1
ADIPOQ_ADIPOR2
ADIPOQ_ADORA1
ADIPOQ_AGER
ADIPOQ_AR
ADIPOQ_CDH13
ADIPOQ_CEACAM1
ADIPOQ_CHRM1
ADIPOQ_CHRM3
ADIPOQ_CRHR1
ADIPOQ_CXCR4
ADIPOQ_DAG1
ADIPOQ_DCC
ADIPOQ_EGFR
ADIPOQ_ERBB2
ADIPOQ_ESR1
ADIPOQ_ESR2
ADIPOQ_FAS
ADIPOQ_FAT1
ADIPOQ_FLT1
ADIPOQ_GPC4
ADIPOQ_GPER1
ADIPOQ_HRH2
ADIPOQ_HTR1A
ADIPOQ_ICAM1
ADIPOQ_IGF1R
ADIPOQ_IL10RA
ADIPOQ_IL6ST
ADIPOQ_LDLR
ADIPOQ_MC2R
ADIPOQ_NOTCH1
ADIPOQ_NTRK1
ADIPOQ_OXTR
ADIPOQ_P2RX4
ADIPOQ_PGR
ADIPOQ_PRNP
ADIPOQ_SELE
ADIPOQ_TNFRSF11B
ADIPOQ_TSKU
ADIPOQ_VCAM1
ADIPOQ_VDR
ADM_ACKR3
ADM_ADCYAP1R1
ADM_ADORA1
ADM_ADORA2A
ADM_ADORA2B
ADM_ADRB1
ADM_ADRB2
ADM_ADRB3
ADM_AR
ADM_CALCR
ADM_CALCRL
ADM_CHRM1
ADM_CHRM3
ADM_CRHR1
ADM_CRHR2
ADM_DRD1
ADM_DRD5
ADM_ESR1
ADM_ESR2
ADM_FAS
ADM_FLT1
ADM_FSHR
ADM_GCGR
ADM_GHRHR
ADM_GIPR
ADM_GLP2R
ADM_GPBAR1
ADM_GPC4
ADM_GPER1
ADM_GPR15
ADM_GPR150
ADM_GPR176
ADM_GPR182
ADM_GPR20
ADM_GPR27
ADM_GPR45
ADM_GPR83
ADM_GPR84
ADM_HRH2
ADM_HTR1A
ADM_HTR4
ADM_HTR6
ADM_HTR7
ADM_IGF1R
ADM_LHCGR
ADM_MC1R
ADM_MC2R
ADM_MC3R
ADM_MC5R
ADM_MRGPRX2
ADM_NOTCH1
ADM_NPR1
ADM_NPSR1
ADM_OXTR
ADM_P2RX4
ADM_PGR
ADM_PTGDR
ADM_PTGER2
ADM_PTGER4
ADM_PTGIR
ADM_PTH1R
ADM_PTH2R
ADM_RAMP1
ADM_RAMP2
ADM_RAMP3
ADM_RXFP1
ADM_RXFP2
ADM_SCTR
ADM_TAAR1
ADM_TSHR
ADM_TSKU
ADM_VDR
ADM_VIPR1
ADM_VIPR2
ADM2_ADCYAP1R1
ADM2_ADORA2A
ADM2_ADORA2B
ADM2_ADRB1
ADM2_ADRB2
ADM2_ADRB3
ADM2_CALCR
ADM2_CALCRL
ADM2_CRHR1
ADM2_CRHR2
ADM2_DRD1
ADM2_DRD5
ADM2_FSHR
ADM2_GCGR
ADM2_GHRHR
ADM2_GIPR
ADM2_GLP2R
ADM2_GPBAR1
ADM2_GPR15
ADM2_GPR150
ADM2_GPR176
ADM2_GPR20
ADM2_GPR27
ADM2_GPR45
ADM2_GPR83
ADM2_GPR84
ADM2_HRH2
ADM2_HTR4
ADM2_HTR6
ADM2_HTR7
ADM2_LHCGR
ADM2_MC1R
ADM2_MC2R
ADM2_MC3R
ADM2_MC5R
ADM2_NPSR1
ADM2_PTGDR
ADM2_PTGER2
ADM2_PTGER4
ADM2_PTGIR
ADM2_PTH1R
ADM2_PTH2R
ADM2_RAMP1
ADM2_RAMP2
ADM2_RAMP3
ADM2_RHO
ADM2_RXFP1
ADM2_RXFP2
ADM2_SCTR
ADM2_TAAR1
ADM2_TSHR
ADM2_VIPR1
ADM2_VIPR2
AGRN_CD44
AGRN_CHRNA9
AGRN_DAG1
AGRN_GPC1
AGRN_GPC4
AGRN_ITGA1
AGRN_ITGA10
AGRN_ITGA11
AGRN_ITGA2
AGRN_ITGA2B
AGRN_ITGA3
AGRN_ITGA4
AGRN_ITGA5
AGRN_ITGA6
AGRN_ITGA7
AGRN_ITGA8
AGRN_ITGA9
AGRN_ITGAD
AGRN_ITGAE
AGRN_ITGAL
AGRN_ITGAM
AGRN_ITGAV
AGRN_ITGAX
AGRN_ITGB1
AGRN_ITGB2
AGRN_ITGB3
AGRN_ITGB4
AGRN_ITGB5
AGRN_ITGB6
AGRN_ITGB7
AGRN_ITGB8
AGRN_LRP1
AGRN_LRP2
AGRN_LRP8
AGRN_MUSK
AGRN_NCAM1
AGRN_PTK7
AGRN_PTPRS
AGRN_RPSA
AGRN_SDC1
AGRN_SDC3
AGRN_SDC4
AGRN_SELL
AGRP_FAS
AGRP_HRH3
AGRP_ITGA2B
AGRP_LRP1
AGRP_MC1R
AGRP_MC3R
AGRP_MC5R
AGRP_NOTCH2
AGRP_SDC3
AGT_ABCA1
AGT_ACKR2
AGT_ACKR3
AGT_ADORA1
AGT_ADORA2A
AGT_ADORA2B
AGT_ADORA3
AGT_ADRA1A
AGT_ADRA1B
AGT_ADRA1D
AGT_ADRA2A
AGT_ADRA2B
AGT_ADRA2C
AGT_ADRB1
AGT_ADRB2
AGT_ADRB3
AGT_AGTR1
AGT_AGTR2
AGT_AGTRAP
AGT_ALOX5
AGT_ANPEP
AGT_APLNR
AGT_AR
AGT_ATP6AP2
AGT_AVPR1A
AGT_AVPR1B
AGT_BDKRB1
AGT_BDKRB2
AGT_BMPR2
AGT_C3AR1
AGT_C5AR1
AGT_CALM1
AGT_CASR
AGT_CCKAR
AGT_CCKBR
AGT_CCR1
AGT_CCR10
AGT_CCR2
AGT_CCR3
AGT_CCR4
AGT_CCR5
AGT_CCR6
AGT_CCR7
AGT_CCR8
AGT_CCR9
AGT_CD247
AGT_CD28
AGT_CD3D
AGT_CD3G
AGT_CD4
AGT_CD40LG
AGT_CDH1
AGT_CDH2
AGT_CDH5
AGT_CFTR
AGT_CHRM1
AGT_CHRM2
AGT_CHRM3
AGT_CHRM4
AGT_CHRM5
AGT_CNGB1
AGT_CNR1
AGT_CNR2
AGT_CRHR1
AGT_CX3CR1
AGT_CXCR1
AGT_CXCR2
AGT_CXCR3
AGT_CXCR4
AGT_CXCR6
AGT_CYSLTR1
AGT_CYSLTR2
AGT_DAB2
AGT_DAG1
AGT_DRD1
