SEMA3F_PLXNA3
SEMA3F_NRP1
SEMA3F_NRP2
CX3CL1_CX3CR1
HEBP1_ADRA2A
HEBP1_MTNR1A
HEBP1_FPR3
HEBP1_GRM7
GRN_TNFRSF1A
GRN_SORT1
GRN_TNFRSF1B
GRN_CLEC4M
GRN_EGFR
UTS2_UTS2R
ICAM3_ITGAL
ICAM3_ITGB2
CEACAM1_SELE
CEACAM1_EGFR
NTN1_UNC5B
NTN1_DCC
NTN1_UNC5A
NTN1_ADORA2B
NTN1_UNC5C
NTN1_NEO1
FGF20_FGFR3
FGF20_FGFR1
FGF20_FGFR4
FGF20_FGFR2
THPO_MPL
EFNB1_EPHB6
EFNB1_EPHB4
EFNB1_ERBB2
EFNB1_EPHB1
EFNB1_EPHB3
EFNB1_EPHB2
EFNB1_EPHA4
EFNB1_EPHA6
DLL3_NOTCH1
DLL3_NOTCH4
DLL3_NOTCH2
DLL3_NOTCH3
EFNA2_EPHA7
EFNA2_EPHA3
EFNA2_EPHA1
EFNA2_EPHA6
EFNA2_EPHA4
EFNA2_EPHA5
EFNA2_EPHA2
EFNA2_EPHA8
FGF22_FGFR2
FGF22_FGFR1
MADCAM1_ITGA4
MADCAM1_CD44
MADCAM1_ITGB7
MIF_CXCR4
MIF_CXCR2
MIF_CD44
MIF_EGFR
MIF_CD74
OSM_LIFR
OSM_IL6ST
OSM_OSMR
GZMB_IGF2R
RSPO4_LGR6
RSPO4_LGR4
RSPO4_LGR5
F9_LRP1
TIMP1_FGFR2
CCL22_CCR4
CCL22_ACKR2
CCL17_ACKR2
CCL17_CCR4
CCL17_CCR8
TG_ASGR1
TG_LRP2
PLAT_ITGAM
PLAT_LRP1
AMH_EGFR
AMH_ACVR1
AMH_AMHR2
EBI3_IL27RA
EBI3_IL6ST
TGFB1_CXCR4
TGFB1_ITGB1
TGFB1_ITGB5
TGFB1_EGFR
TGFB1_ENG
TGFB1_TGFBR2
TGFB1_ITGB3
TGFB1_TGFBR1
TGFB1_ITGB6
TGFB1_ACVRL1
TGFB1_ITGAV
TGFB1_ITGB8
TGFB1_SDC2
TGFB1_TGFBR3
ICAM5_ITGAL
ICAM5_ITGB2
COMP_CD36
COMP_ITGB3
COMP_ITGB1
HGF_ITGB1
HGF_CD44
HGF_MET
HGF_NRP1
HGF_SDC2
HGF_SDC1
LAMB1_ITGA7
LAMB1_ITGA6
LAMB1_ITGA1
LAMB1_ITGA2
LAMB1_ITGAV
