 HEBP1_GRM7 
 HEBP1_EGFR 
 HEBP1_CXCR4 
 HEBP1_CCR1 
 HEBP1_FPR2 
 HEBP1_FPR1 
 GRN_EGFR 
 GRN_TNFRSF1A 
 GRN_SORT1 
 GRN_TNFRSF1B 
 GRN_CLEC4M 
 GRN_ERBB3 
 UTS2_UTS2R 
 ICAM3_ITGB2 
 CEACAM1_EGFR 
 CEACAM1_CLEC4M 
 CEACAM1_SELE 
 CEACAM1_ITGB3 
 FGF4_GRM7 
 FGF4_FGFR2 
 FGF4_FGFR3 
 NTN1_DCC 
 NTN1_UNC5A 
 NTN1_ADORA2B 
 NTN1_UNC5C 
 NTN1_NEO1 
 NTN1_EPHB2 
 NTN1_NOTCH2 
 NTN1_NOTCH3 
 NTN1_ACVR1B 
 NTN1_PTK7 
 NTN1_ROBO2 
 SCT_GRM7 
 SCT_ADORA2B 
 SCT_ADCYAP1R1 
 SCT_VIPR1 
 SCT_ADRB3 
 SCT_GPR84 
 SCT_CXCR2 
 SCT_FZD5 
 SCT_CALCR 
 SCT_FZD4 
 SCT_RAMP1 
 SCT_CRHR2 
 SCT_CRHR1 
 SCT_MC2R 
 SCT_MC4R 
 SCT_MC5R 
 SCT_CALCRL 
 SCT_GLP1R 
 SCT_GIPR 
 SCT_MC1R 
 SCT_MC3R 
 SCT_GHRHR 
 FGF20_GRM7 
 FGF20_EGFR 
 FGF20_FGFR2 
 FGF20_FGFR3 
 DLL3_GRM7 
 DLL3_NOTCH2 
 DLL3_NOTCH3 
 EFNA2_EPHB6 
 EFNA2_EPHB2 
 EFNA2_EPHA4 
 EFNA2_EPHA6 
 EFNA2_EPHA7 
 EFNA2_EPHA3 
 EFNA2_EPHA2 
 MADCAM1_ITGB2 
 MADCAM1_ITGA4 
 MADCAM1_ITGB7 
 MADCAM1_ITGAM 
 MADCAM1_SELL 
 RSPO4_LGR4 
 RSPO4_LGR5 
 OXT_GRM7 
 OXT_EGFR 
 OXT_UTS2R 
 OXT_FGFR2 
 OXT_CXCR2 
 OXT_AVPR1A 
 OXT_OXTR 
 OXT_NPFFR1 
 OXT_FZD5 
 OXT_LDLR 
 OXT_NMUR1 
 OXT_HCRTR1 
 OXT_TACR2 
 OXT_XCR1 
 TIMP1_EGFR 
 TIMP1_FGFR2 
 TIMP1_LRP1 
 CCL17_CXCR4 
 CCL17_CCR4 
 CCL17_CCR8 
 CCL17_CCR7 
 LHB_GRM7 
 LHB_EGFR 
 LHB_FGFR2 
 LHB_ADCYAP1R1 
 LHB_VIPR1 
 LHB_ADRB3 
 LHB_GPR84 
 LHB_CXCR2 
 LHB_LHCGR 
 LHB_FZD5 
 LHB_CALCR 
 LHB_FZD4 
 LHB_RAMP1 
 LHB_FSHR 
 LHB_CRHR2 
 AMH_EGFR 
 AMH_ACVR1 
 AMH_AMHR2 
 COMP_ITGB3 
 COMP_CD36 
 COMP_SDC1 
 COMP_CD47 
 COMP_ITGA2B 
 COMP_ITGA3 
 LAMB1_ITGB2 
 LAMB1_ITGAD 
 LAMB1_ITGB5 
 LAMB1_ITGA4 
 LAMB1_ITGB7 
 LAMB1_SDC2 
 LAMB1_ITGAM 
 LAMB1_ITGB3 
 LAMB1_ITGB6 
 LAMB1_ITGB8 
 LAMB1_SDC1 
 LAMB1_ITGA7 
 LAMB1_ITGA2 
 LAMB1_ITGA8 
 LAMB1_ITGA2B 
 LAMB1_ITGAX 
 LAMB1_RPSA 
 LAMB1_ITGA3 
 LAMB1_ITGA9 
 C5_GRM7 
 C5_SORT1 
 C5_ITGB2 
 C5_SDC2 
 C5_ITGAM 
 C5_C5AR2 
 C5_C5AR1 
 C5_TLR4 
 RLN1_ADCYAP1R1 
 RLN1_VIPR1 
 RLN1_ADRB3 
 RLN1_GPR84 
 WNT3_GRM7 
 WNT3_LRP1 
 WNT3_SDC2 
 WNT3_FZD2 
 WNT3_FZD6 
 WNT3_LRP6 
 WNT3_SDC1 
 WNT3_RYK 
 WNT3_ROR2 
 WNT3_FZD5 
 WNT3_FZD4 
 WNT3_FZD9 
 WNT3_FZD3 
 WNT3_FZD10 
 WNT3_SMO 
 CCL2_CXCR2 
 CCL2_CCR4 
 CCL2_CCR1 
 CCL2_CCR10 
 CCL2_CCR3 
 CCL2_CCR6 
 CCL2_CCRL2 
 CCL2_CCR7 
 CCL2_XCR1 
 COL1A1_EGFR 
 COL1A1_ITGB2 
 COL1A1_ITGAD 
 COL1A1_ITGB5 
 COL1A1_ITGA4 
 COL1A1_ITGB7 
 COL1A1_SDC2 
 COL1A1_ITGAM 
 COL1A1_ITGB3 
 COL1A1_ITGB6 
 COL1A1_ITGB8 
 COL1A1_CD36 
 COL1A1_SDC1 
 COL1A1_ITGA7 
 COL1A1_ITGA2 
 COL1A1_DDR2 
 COL1A1_ITGA11 
 COL1A1_DDR1 
 COL1A1_ITGA8 
 COL1A1_CD47 
 COL1A1_ITGA2B 
 COL1A1_SDC3 
 COL1A1_ITGAX 
 COL1A1_GPC4 
 COL1A1_ITGA3 
 COL1A1_ITGA9 
 COL1A1_ITGA10 
 EFNB3_EPHB6 
 EFNB3_EPHB2 
 EFNB3_EPHA4 
 EFNB3_EPHA6 
 EFNB3_EPHA7 
 EFNB3_EPHA3 
 EFNB3_EPHA2 
 EFNB3_SDC2 
 VTN_EGFR 
 VTN_ITGB2 
 VTN_ITGB5 
 VTN_SDC2 
 VTN_ITGB3 
 VTN_ITGB6 
 VTN_ITGB8 
 VTN_SDC1 
 VTN_ITGA8 
 VTN_CD47 
 VTN_KDR 
 VTN_ITGA2B 
 VTN_TNFRSF11B 
 VTN_THBD 
 VTN_ITGA3 
 VTN_CD4 
 VTN_ITGA9 
 CXCL6_GRM7 
 CXCL6_CXCR4 
 CXCL6_CXCR2 
 CXCL6_CCR4 
 CXCL6_CCR1 
 CXCL6_CCR10 
 CXCL6_CCR3 
 CXCL6_CXCR5 
 IL2_TNFRSF1A 
 IL2_TNFRSF1B 
 IL2_ITGB2 
 IL2_IL2RG 
 IL2_CSF2RB 
 IL2_IL7R 
 IL2_IL21R 
 IL2_FAS 
 KITLG_GRM7 
 KITLG_EGFR 
 KITLG_TNFRSF1A 
 KITLG_FGFR2 
 KITLG_FGFR3 
 KITLG_IL2RG 
 KITLG_KIT 
 KITLG_IL10RB 
 KITLG_TLR4 
 KITLG_IFNAR2 
 KITLG_IFNAR1 
 KITLG_IL7R 
 KITLG_FLT1 
 KITLG_FAS 
 IL23A_CXCR2 
 IL23A_IL12RB1 
 IL23A_IL10RB 
 FGF6_GRM7 
 FGF6_FGFR2 
 FGF6_FGFR3 
 IFNG_GRM7 
 IFNG_EGFR 
 IFNG_FGFR2 
 IFNG_CXCR4 
 IFNG_CCR3 
 IFNG_IL2RG 
 IFNG_IL10RB 
 IFNG_IFNGR2 
 IFNG_IFNGR1 
 IFNG_TLR4 
 IFNG_IFNAR2 
 IFNG_IFNAR1 
 HBEGF_GRM7 
 HBEGF_EGFR 
 HBEGF_ERBB4 
 HBEGF_FGFR2 
