GRM2,1252,4,2068,21,515,3,126,1,65,1,61,0,52,2
PROSC,1252,628,2068,680,515,128,126,68,65,29,61,32,52,21
MIR4511,1252,0,2068,0,515,0,126,0,65,0,61,0,52,0
SPIN2B,1252,233,2068,114,515,26,126,3,65,7,61,5,52,6
PIR,1252,877,2068,39,515,3,126,10,65,10,61,13,52,0
IPO9,1252,1046,2068,1811,515,440,126,110,65,53,61,50,52,48
FLJ26850,1252,6,2068,17,515,5,126,1,65,0,61,0,52,0
TTTY1B,1252,0,2068,0,515,1,126,0,65,0,61,0,52,1
EVC,1252,390,2068,414,515,88,126,15,65,18,61,23,52,6
CXCL13,1252,14,2068,560,515,6,126,1,65,0,61,2,52,0
KIAA1199,1252,192,2068,87,515,17,126,3,65,21,61,19,52,2
EHHADH-AS1,1252,28,2068,125,515,29,126,11,65,1,61,3,52,5
SORL1,1252,181,2068,734,515,160,126,89,65,1,61,6,52,36
NAT10,1252,536,2068,305,515,89,126,20,65,10,61,21,52,6
CHD1,1252,813,2068,894,515,208,126,74,65,33,61,33,52,20
SYN3,1252,128,2068,20,515,14,126,0,65,3,61,1,52,0
LINC00210,1252,5,2068,8,515,2,126,2,65,1,61,0,52,0
SLC22A2,1252,6,2068,12,515,5,126,0,65,1,61,0,52,0
SERPINF1,1252,387,2068,65,515,21,126,37,65,4,61,49,52,2
WDR34,1252,607,2068,95,515,65,126,10,65,6,61,25,52,3
OR7A17,1252,7,2068,15,515,1,126,1,65,0,61,1,52,0
POTED,1252,11,2068,14,515,6,126,1,65,0,61,0,52,0
EPT1,1252,549,2068,830,515,171,126,51,65,27,61,25,52,20
LHB,1252,41,2068,8,515,3,126,1,65,0,61,1,52,0
TAOK3,1252,812,2068,772,515,172,126,82,65,22,61,36,52,27
STK25,1252,460,2068,307,515,46,126,22,65,34,61,24,52,5
OR10X1,1252,4,2068,5,515,2,126,0,65,0,61,0,52,0
CDC25B,1252,459,2068,440,515,65,126,14,65,20,61,18,52,10
BMP3,1252,136,2068,599,515,135,126,37,65,13,61,10,52,6
TMEM180,1252,365,2068,769,515,171,126,70,65,21,61,14,52,18
MAP1LC3C,1252,720,2068,1690,515,396,126,106,65,47,61,30,52,35
MIR564,1252,3,2068,4,515,2,126,1,65,0,61,0,52,0
CRYGC,1252,0,2068,5,515,2,126,0,65,0,61,0,52,0
POU3F1,1252,62,2068,41,515,6,126,0,65,0,61,0,52,0
HIGD1B,1252,9,2068,27,515,10,126,0,65,0,61,0,52,0
USP6NL,1252,508,2068,43,515,106,126,24,65,5,61,4,52,2
LINC00460,1252,14,2068,2,515,1,126,0,65,0,61,0,52,0
ABCD4,1252,541,2068,375,515,96,126,29,65,45,61,22,52,7
C11orf93,1252,11,2068,13,515,21,126,0,65,0,61,3,52,0
TEK,1252,7,2068,14,515,4,126,1,65,43,61,4,52,1
SLC25A46,1252,486,2068,348,515,74,126,34,65,15,61,27,52,8
LARP7,1252,621,2068,541,515,126,126,52,65,24,61,34,52,11
